,attendance,box_score_text,game_date,game_remarks,game_start_time,team1_pts,team1_name,overtimes,team2_pts,team2_name,playoffs,season,location,date,home,Timezone,Lat,Long,Location,Timezone_home,Lat_home,Long_home,prev_game_date,prev_game_location,prev_game_lat,prev_game_long,prev_opponent,opp_prev_game_date,opp_prev_game_location,opp_prev_game_lat,opp_prev_game_long,2prev_game_location,2prev_game_lat,2prev_game_long,3prev_game_location,3prev_game_lat,3prev_game_long,4prev_game_location,4prev_game_lat,4prev_game_long,5prev_game_location,5prev_game_lat,5prev_game_long,6prev_game_location,6prev_game_lat,6prev_game_long,7prev_game_location,7prev_game_lat,7prev_game_long,8prev_game_location,8prev_game_lat,8prev_game_long,9prev_game_location,9prev_game_lat,9prev_game_long,10prev_game_location,10prev_game_lat,10prev_game_long,11prev_game_location,11prev_game_lat,11prev_game_long,game_of_trip,total_trip_distance,prev_game_timezone,rest,opp_rest,rest_diff,timezone_change,home_timezone_change,travel_distance,is_series_game2,won,won_prev_game,attendance_capacity
0,,Box Score,"Tue, Dec 22, 2020",,7:00p,125.0,Brooklyn Nets,,99.0,Golden State Warriors,N,2021,Brooklyn Nets,2020-12-22,Y,1,40.71274,-74.005974,Brooklyn Nets,1,40.71274,-74.005974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,True,,0.0
1,,Box Score,"Tue, Dec 22, 2020",,7:00p,99.0,Golden State Warriors,,125.0,Brooklyn Nets,N,2021,Brooklyn Nets,2020-12-22,N,1,40.71274,-74.005974,Golden State Warriors,4,37.804444,-122.270833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,-3,,False,False,,0.0
2,,Box Score,"Mon, Dec 28, 2020",,7:30p,111.0,Brooklyn Nets,OT,116.0,Memphis Grizzlies,N,2021,Brooklyn Nets,2020-12-28,Y,1,40.71274,-74.005974,Brooklyn Nets,1,40.71274,-74.005974,2020-12-27,Charlotte Hornets,35.227222,-80.843056,Charlotte Hornets,2020-12-26,Memphis Grizzlies,35.1175,-89.971111,Boston Celtics,42.358056,-71.063611,Brooklyn Nets,40.71274,-74.005974,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,-1.0,0.0,0,531.6194068259241,False,False,False,0.0
3,,Box Score,"Mon, Dec 28, 2020",,7:30p,116.0,Memphis Grizzlies,OT,111.0,Brooklyn Nets,N,2021,Brooklyn Nets,2020-12-28,N,1,40.71274,-74.005974,Memphis Grizzlies,2,35.1175,-89.971111,2020-12-26,Memphis Grizzlies,35.1175,-89.971111,Atlanta Hawks,2020-12-27,Charlotte Hornets,35.227222,-80.843056,Memphis Grizzlies,35.1175,-89.971111,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,953.3656187601391,2.0,2.0,1.0,1.0,-1.0,-1,953.3656187601391,False,True,False,0.0
4,,Box Score,"Wed, Dec 30, 2020",,7:30p,145.0,Brooklyn Nets,,141.0,Atlanta Hawks,N,2021,Brooklyn Nets,2020-12-30,Y,1,40.71274,-74.005974,Brooklyn Nets,1,40.71274,-74.005974,2020-12-28,Brooklyn Nets,40.71274,-74.005974,Memphis Grizzlies,2020-12-28,Atlanta Hawks,33.755,-84.39,Charlotte Hornets,35.227222,-80.843056,Boston Celtics,42.358056,-71.063611,Brooklyn Nets,40.71274,-74.005974,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0,0.0,False,True,False,0.0
5,,Box Score,"Wed, Dec 30, 2020",,7:30p,141.0,Atlanta Hawks,,145.0,Brooklyn Nets,N,2021,Brooklyn Nets,2020-12-30,N,1,40.71274,-74.005974,Atlanta Hawks,1,33.755,-84.39,2020-12-28,Atlanta Hawks,33.755,-84.39,Detroit Pistons,2020-12-28,Brooklyn Nets,40.71274,-74.005974,Memphis Grizzlies,35.1175,-89.971111,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,,,,,1.0,742.9220774267393,1.0,2.0,2.0,0.0,0.0,0,742.9220774267393,False,False,True,0.0
6,0.0,Box Score,"Fri, Jan 1, 2021",,7:30p,96.0,Brooklyn Nets,,114.0,Atlanta Hawks,N,2021,Brooklyn Nets,2021-01-01,Y,1,40.71274,-74.005974,Brooklyn Nets,1,40.71274,-74.005974,2020-12-30,Brooklyn Nets,40.71274,-74.005974,Atlanta Hawks,2020-12-30,Brooklyn Nets,40.71274,-74.005974,Brooklyn Nets,40.71274,-74.005974,Charlotte Hornets,35.227222,-80.843056,Boston Celtics,42.358056,-71.063611,Brooklyn Nets,40.71274,-74.005974,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0,0.0,True,False,True,0.0
7,0.0,Box Score,"Fri, Jan 1, 2021",,7:30p,114.0,Atlanta Hawks,,96.0,Brooklyn Nets,N,2021,Brooklyn Nets,2021-01-01,N,1,40.71274,-74.005974,Atlanta Hawks,1,33.755,-84.39,2020-12-30,Brooklyn Nets,40.71274,-74.005974,Brooklyn Nets,2020-12-30,Brooklyn Nets,40.71274,-74.005974,Atlanta Hawks,33.755,-84.39,Memphis Grizzlies,35.1175,-89.971111,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,,2.0,742.9220774267393,1.0,2.0,2.0,0.0,0.0,0,0.0,True,True,False,0.0
8,,Box Score,"Tue, Dec 22, 2020",,10:00p,116.0,Los Angeles Clippers,,109.0,Los Angeles Lakers,N,2021,Los Angeles Lakers,2020-12-22,N,4,34.05,-118.25,Los Angeles Clippers,4,34.05,-118.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0,,False,True,,
9,,Box Score,"Tue, Dec 22, 2020",,10:00p,109.0,Los Angeles Lakers,,116.0,Los Angeles Clippers,N,2021,Los Angeles Lakers,2020-12-22,Y,4,34.05,-118.25,Los Angeles Lakers,4,34.05,-118.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,,
