,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"20,562",Box Score,"Tue, Oct 17, 2017",,8:01p,102,Cleveland Cavaliers,,99,Boston Celtics,N
1,"19,596",Box Score,"Tue, Oct 17, 2017",,10:30p,121,Golden State Warriors,,122,Houston Rockets,N
2,"20,491",Box Score,"Wed, Oct 18, 2017",,7:00p,102,Detroit Pistons,,90,Charlotte Hornets,N
3,"15,008",Box Score,"Wed, Oct 18, 2017",,7:00p,140,Indiana Pacers,,131,Brooklyn Nets,N
4,"18,846",Box Score,"Wed, Oct 18, 2017",,7:00p,116,Orlando Magic,,109,Miami Heat,N
5,"20,356",Box Score,"Wed, Oct 18, 2017",,7:00p,120,Washington Wizards,,115,Philadelphia 76ers,N
6,"18,624",Box Score,"Wed, Oct 18, 2017",,7:30p,100,Boston Celtics,,108,Milwaukee Bucks,N
7,"17,794",Box Score,"Wed, Oct 18, 2017",,8:00p,103,Memphis Grizzlies,,91,New Orleans Pelicans,N
8,"19,709",Box Score,"Wed, Oct 18, 2017",,8:30p,111,Dallas Mavericks,,117,Atlanta Hawks,N
9,"17,588",Box Score,"Wed, Oct 18, 2017",,9:00p,106,Utah Jazz,,96,Denver Nuggets,N
10,"18,418",Box Score,"Wed, Oct 18, 2017",,9:30p,107,San Antonio Spurs,,99,Minnesota Timberwolves,N
11,"18,055",Box Score,"Wed, Oct 18, 2017",,10:00p,76,Phoenix Suns,,124,Portland Trail Blazers,N
12,"17,583",Box Score,"Wed, Oct 18, 2017",,10:00p,100,Sacramento Kings,,105,Houston Rockets,N
13,"19,800",Box Score,"Thu, Oct 19, 2017",,7:30p,117,Toronto Raptors,,100,Chicago Bulls,N
14,"18,203",Box Score,"Thu, Oct 19, 2017",,8:00p,105,Oklahoma City Thunder,,84,New York Knicks,N
15,"18,997",Box Score,"Thu, Oct 19, 2017",,10:30p,92,Los Angeles Lakers,,108,Los Angeles Clippers,N
16,"18,417",Box Score,"Fri, Oct 20, 2017",,7:00p,109,Charlotte Hornets,,91,Atlanta Hawks,N
17,"15,325",Box Score,"Fri, Oct 20, 2017",,7:00p,96,Indiana Pacers,,114,Portland Trail Blazers,N
18,"18,717",Box Score,"Fri, Oct 20, 2017",,7:00p,97,Milwaukee Bucks,,116,Cleveland Cavaliers,N
19,"20,816",Box Score,"Fri, Oct 20, 2017",,7:00p,92,Philadelphia 76ers,,102,Boston Celtics,N
20,"16,337",Box Score,"Fri, Oct 20, 2017",,7:00p,115,Washington Wizards,,111,Detroit Pistons,N
21,"16,144",Box Score,"Fri, Oct 20, 2017",,7:30p,126,Brooklyn Nets,,121,Orlando Magic,N
22,"18,978",Box Score,"Fri, Oct 20, 2017",,8:00p,100,Minnesota Timberwolves,,97,Utah Jazz,N
23,"19,273",Box Score,"Fri, Oct 20, 2017",,8:30p,88,Dallas Mavericks,,93,Sacramento Kings,N
24,"18,171",Box Score,"Fri, Oct 20, 2017",,9:30p,120,New Orleans Pelicans,,128,Golden State Warriors,N
25,"18,055",Box Score,"Fri, Oct 20, 2017",,10:00p,130,Phoenix Suns,,132,Los Angeles Lakers,N
26,"19,800",Box Score,"Sat, Oct 21, 2017",,7:30p,128,Toronto Raptors,,94,Philadelphia 76ers,N
27,"21,640",Box Score,"Sat, Oct 21, 2017",,8:00p,77,Chicago Bulls,,87,San Antonio Spurs,N
28,"20,562",Box Score,"Sat, Oct 21, 2017",,8:00p,93,Cleveland Cavaliers,,114,Orlando Magic,N
29,"18,055",Box Score,"Sat, Oct 21, 2017",,8:00p,107,Houston Rockets,,91,Dallas Mavericks,N
30,"17,794",Box Score,"Sat, Oct 21, 2017",,8:00p,111,Memphis Grizzlies,,101,Golden State Warriors,N
31,"19,600",Box Score,"Sat, Oct 21, 2017",,8:00p,112,Miami Heat,,108,Indiana Pacers,N
32,"19,812",Box Score,"Sat, Oct 21, 2017",,8:00p,107,New York Knicks,,111,Detroit Pistons,N
33,"16,211",Box Score,"Sat, Oct 21, 2017",,8:30p,113,Milwaukee Bucks,,110,Portland Trail Blazers,N
34,"19,520",Box Score,"Sat, Oct 21, 2017",,9:00p,96,Denver Nuggets,,79,Sacramento Kings,N
35,"18,300",Box Score,"Sat, Oct 21, 2017",,9:00p,96,Utah Jazz,,87,Oklahoma City Thunder,N
36,"19,068",Box Score,"Sat, Oct 21, 2017",,10:30p,130,Los Angeles Clippers,,88,Phoenix Suns,N
37,"13,917",Box Score,"Sun, Oct 22, 2017",,3:30p,116,Brooklyn Nets,,104,Atlanta Hawks,N
38,"18,203",Box Score,"Sun, Oct 22, 2017",,7:00p,113,Oklahoma City Thunder,,115,Minnesota Timberwolves,N
39,"18,997",Box Score,"Sun, Oct 22, 2017",,9:30p,112,Los Angeles Lakers,,119,New Orleans Pelicans,N
40,"13,709",Box Score,"Mon, Oct 23, 2017",,7:00p,86,Detroit Pistons,,97,Philadelphia 76ers,N
41,"19,600",Box Score,"Mon, Oct 23, 2017",,7:30p,104,Miami Heat,,93,Atlanta Hawks,N
42,"17,129",Box Score,"Mon, Oct 23, 2017",,8:00p,90,Houston Rockets,,98,Memphis Grizzlies,N
43,"12,887",Box Score,"Mon, Oct 23, 2017",,8:00p,103,Milwaukee Bucks,,94,Charlotte Hornets,N
44,"19,875",Box Score,"Mon, Oct 23, 2017",,8:30p,103,Dallas Mavericks,,133,Golden State Warriors,N
45,"18,418",Box Score,"Mon, Oct 23, 2017",,8:30p,101,San Antonio Spurs,,97,Toronto Raptors,N
46,"14,294",Box Score,"Mon, Oct 23, 2017",,9:00p,104,Denver Nuggets,,109,Washington Wizards,N
47,"14,903",Box Score,"Mon, Oct 23, 2017",,10:00p,117,Phoenix Suns,,115,Sacramento Kings,N
48,"20,562",Box Score,"Tue, Oct 24, 2017",,7:00p,119,Cleveland Cavaliers,,112,Chicago Bulls,N
49,"16,015",Box Score,"Tue, Oct 24, 2017",,7:00p,125,Orlando Magic,,121,Brooklyn Nets,N
50,"18,624",Box Score,"Tue, Oct 24, 2017",,7:30p,110,Boston Celtics,,89,New York Knicks,N
51,"14,353",Box Score,"Tue, Oct 24, 2017",,8:00p,107,Minnesota Timberwolves,,130,Indiana Pacers,N
52,"19,446",Box Score,"Tue, Oct 24, 2017",,10:00p,103,Portland Trail Blazers,,93,New Orleans Pelicans,N
53,"16,607",Box Score,"Tue, Oct 24, 2017",,10:30p,102,Los Angeles Clippers,,84,Utah Jazz,N
54,"14,253",Box Score,"Wed, Oct 25, 2017",,7:00p,110,Charlotte Hornets,,93,Denver Nuggets,N
55,"13,790",Box Score,"Wed, Oct 25, 2017",,7:00p,122,Detroit Pistons,,101,Minnesota Timberwolves,N
56,"20,682",Box Score,"Wed, Oct 25, 2017",,7:00p,104,Philadelphia 76ers,,105,Houston Rockets,N
57,"17,732",Box Score,"Wed, Oct 25, 2017",,7:30p,112,Brooklyn Nets,,107,Cleveland Cavaliers,N
58,"19,600",Box Score,"Wed, Oct 25, 2017",,8:00p,100,Miami Heat,,117,San Antonio Spurs,N
59,"18,203",Box Score,"Wed, Oct 25, 2017",,8:00p,114,Oklahoma City Thunder,,96,Indiana Pacers,N
60,"19,674",Box Score,"Wed, Oct 25, 2017",,8:30p,103,Dallas Mavericks,,94,Memphis Grizzlies,N
61,"16,022",Box Score,"Wed, Oct 25, 2017",,10:00p,97,Phoenix Suns,,88,Utah Jazz,N
62,"19,596",Box Score,"Wed, Oct 25, 2017",,10:30p,117,Golden State Warriors,,112,Toronto Raptors,N
63,"18,996",Box Score,"Wed, Oct 25, 2017",,10:30p,102,Los Angeles Lakers,OT,99,Washington Wizards,N
64,"21,104",Box Score,"Thu, Oct 26, 2017",,8:00p,91,Chicago Bulls,,86,Atlanta Hawks,N
65,"15,839",Box Score,"Thu, Oct 26, 2017",,8:00p,96,Memphis Grizzlies,,91,Dallas Mavericks,N
66,"11,046",Box Score,"Thu, Oct 26, 2017",,8:00p,89,Milwaukee Bucks,,96,Boston Celtics,N
67,"18,694",Box Score,"Thu, Oct 26, 2017",,10:00p,103,Portland Trail Blazers,,104,Los Angeles Clippers,N
68,"17,583",Box Score,"Thu, Oct 26, 2017",,10:30p,106,Sacramento Kings,,114,New Orleans Pelicans,N
69,"17,339",Box Score,"Fri, Oct 27, 2017",,7:00p,93,Charlotte Hornets,,109,Houston Rockets,N
70,"17,337",Box Score,"Fri, Oct 27, 2017",,7:00p,114,Orlando Magic,,87,San Antonio Spurs,N
71,"16,220",Box Score,"Fri, Oct 27, 2017",,7:30p,100,Atlanta Hawks,,105,Denver Nuggets,N
72,"19,812",Box Score,"Fri, Oct 27, 2017",,7:30p,107,New York Knicks,,86,Brooklyn Nets,N
73,"17,620",Box Score,"Fri, Oct 27, 2017",,8:00p,119,Minnesota Timberwolves,,116,Oklahoma City Thunder,N
74,"19,596",Box Score,"Fri, Oct 27, 2017",,10:30p,120,Golden State Warriors,,117,Washington Wizards,N
75,"17,876",Box Score,"Fri, Oct 27, 2017",,10:30p,92,Los Angeles Lakers,,101,Toronto Raptors,N
76,"18,539",Box Score,"Sat, Oct 28, 2017",,7:00p,123,New Orleans Pelicans,,101,Cleveland Cavaliers,N
77,"21,706",Box Score,"Sat, Oct 28, 2017",,8:00p,69,Chicago Bulls,,101,Oklahoma City Thunder,N
78,"17,033",Box Score,"Sat, Oct 28, 2017",,8:00p,103,Memphis Grizzlies,,89,Houston Rockets,N
79,"19,600",Box Score,"Sat, Oct 28, 2017",,8:00p,90,Miami Heat,,96,Boston Celtics,N
80,"19,567",Box Score,"Sat, Oct 28, 2017",,8:30p,110,Dallas Mavericks,,112,Philadelphia 76ers,N
81,"18,306",Box Score,"Sat, Oct 28, 2017",,9:00p,96,Utah Jazz,,81,Los Angeles Lakers,N
82,"19,343",Box Score,"Sat, Oct 28, 2017",,10:00p,114,Portland Trail Blazers,,107,Phoenix Suns,N
83,"17,247",Box Score,"Sat, Oct 28, 2017",,10:30p,87,Los Angeles Clippers,,95,Detroit Pistons,N
84,"14,014",Box Score,"Sun, Oct 29, 2017",,3:30p,106,Atlanta Hawks,,117,Milwaukee Bucks,N
85,"15,013",Box Score,"Sun, Oct 29, 2017",,4:30p,97,Indiana Pacers,,94,San Antonio Spurs,N
86,"14,854",Box Score,"Sun, Oct 29, 2017",,6:00p,111,Brooklyn Nets,,124,Denver Nuggets,N
87,"15,531",Box Score,"Sun, Oct 29, 2017",,6:00p,120,Charlotte Hornets,,113,Orlando Magic,N
88,"17,583",Box Score,"Sun, Oct 29, 2017",,6:00p,83,Sacramento Kings,,110,Washington Wizards,N
89,"20,562",Box Score,"Sun, Oct 29, 2017",,7:00p,95,Cleveland Cavaliers,,114,New York Knicks,N
90,"19,596",Box Score,"Sun, Oct 29, 2017",,8:30p,107,Golden State Warriors,,115,Detroit Pistons,N
91,"18,624",Box Score,"Mon, Oct 30, 2017",,7:30p,108,Boston Celtics,,94,San Antonio Spurs,N
92,"19,600",Box Score,"Mon, Oct 30, 2017",,7:30p,122,Miami Heat,OT,125,Minnesota Timberwolves,N
93,"19,812",Box Score,"Mon, Oct 30, 2017",,7:30p,116,New York Knicks,,110,Denver Nuggets,N
94,"16,714",Box Score,"Mon, Oct 30, 2017",,8:00p,107,Houston Rockets,,115,Philadelphia 76ers,N
95,"15,771",Box Score,"Mon, Oct 30, 2017",,8:00p,99,Memphis Grizzlies,,104,Charlotte Hornets,N
96,"14,004",Box Score,"Mon, Oct 30, 2017",,8:00p,99,New Orleans Pelicans,,115,Orlando Magic,N
97,"16,221",Box Score,"Mon, Oct 30, 2017",,9:00p,104,Utah Jazz,,89,Dallas Mavericks,N
98,"18,505",Box Score,"Mon, Oct 30, 2017",,10:00p,85,Portland Trail Blazers,,99,Toronto Raptors,N
99,"19,068",Box Score,"Mon, Oct 30, 2017",,10:30p,113,Los Angeles Clippers,,141,Golden State Warriors,N
100,"12,245",Box Score,"Tue, Oct 31, 2017",,7:00p,101,Indiana Pacers,,83,Sacramento Kings,N
101,"12,936",Box Score,"Tue, Oct 31, 2017",,7:30p,114,Brooklyn Nets,,122,Phoenix Suns,N
102,"16,713",Box Score,"Tue, Oct 31, 2017",,8:00p,91,Milwaukee Bucks,,110,Oklahoma City Thunder,N
103,"17,569",Box Score,"Tue, Oct 31, 2017",,10:30p,113,Los Angeles Lakers,,93,Detroit Pistons,N
104,"15,655",Box Score,"Wed, Nov 1, 2017",,7:00p,126,Charlotte Hornets,,121,Milwaukee Bucks,N
105,"20,562",Box Score,"Wed, Nov 1, 2017",,7:00p,107,Cleveland Cavaliers,,124,Indiana Pacers,N
106,"20,549",Box Score,"Wed, Nov 1, 2017",,7:00p,119,Philadelphia 76ers,,109,Atlanta Hawks,N
107,"14,790",Box Score,"Wed, Nov 1, 2017",,7:00p,116,Washington Wizards,,122,Phoenix Suns,N
108,"18,624",Box Score,"Wed, Nov 1, 2017",,7:30p,113,Boston Celtics,,86,Sacramento Kings,N
109,"19,600",Box Score,"Wed, Nov 1, 2017",,7:30p,97,Miami Heat,,91,Chicago Bulls,N
110,"15,434",Box Score,"Wed, Nov 1, 2017",,8:00p,99,Memphis Grizzlies,,101,Orlando Magic,N
111,"14,788",Box Score,"Wed, Nov 1, 2017",,8:00p,98,New Orleans Pelicans,,104,Minnesota Timberwolves,N
112,"18,320",Box Score,"Wed, Nov 1, 2017",,8:00p,97,New York Knicks,,119,Houston Rockets,N
113,"14,072",Box Score,"Wed, Nov 1, 2017",,9:00p,129,Denver Nuggets,,111,Toronto Raptors,N
114,"16,685",Box Score,"Wed, Nov 1, 2017",,9:00p,112,Utah Jazz,OT,103,Portland Trail Blazers,N
115,"13,487",Box Score,"Wed, Nov 1, 2017",,10:30p,119,Los Angeles Clippers,,98,Dallas Mavericks,N
116,"18,418",Box Score,"Thu, Nov 2, 2017",,8:00p,92,San Antonio Spurs,,112,Golden State Warriors,N
117,"19,469",Box Score,"Thu, Nov 2, 2017",,10:30p,113,Portland Trail Blazers,,110,Los Angeles Lakers,N
118,"17,207",Box Score,"Fri, Nov 3, 2017",,7:00p,105,Detroit Pistons,,96,Milwaukee Bucks,N
119,"19,171",Box Score,"Fri, Nov 3, 2017",,7:00p,83,Orlando Magic,,105,Chicago Bulls,N
120,"20,668",Box Score,"Fri, Nov 3, 2017",,7:00p,121,Philadelphia 76ers,,110,Indiana Pacers,N
121,"20,356",Box Score,"Fri, Nov 3, 2017",,7:00p,122,Washington Wizards,,130,Cleveland Cavaliers,N
122,"14,087",Box Score,"Fri, Nov 3, 2017",,7:30p,104,Atlanta Hawks,,119,Houston Rockets,N
123,"19,404",Box Score,"Fri, Nov 3, 2017",,7:30p,120,New York Knicks,,107,Phoenix Suns,N
124,"19,894",Box Score,"Fri, Nov 3, 2017",,8:30p,94,Dallas Mavericks,,99,New Orleans Pelicans,N
125,"18,418",Box Score,"Fri, Nov 3, 2017",,8:30p,108,San Antonio Spurs,,101,Charlotte Hornets,N
126,"15,317",Box Score,"Fri, Nov 3, 2017",,9:00p,95,Denver Nuggets,,94,Miami Heat,N
127,"16,258",Box Score,"Fri, Nov 3, 2017",,9:00p,100,Utah Jazz,,109,Toronto Raptors,N
128,"18,203",Box Score,"Fri, Nov 3, 2017",,9:30p,94,Oklahoma City Thunder,,101,Boston Celtics,N
129,"18,997",Box Score,"Fri, Nov 3, 2017",,10:30p,124,Los Angeles Lakers,,112,Brooklyn Nets,N
130,"14,777",Box Score,"Sat, Nov 4, 2017",,3:30p,104,Los Angeles Clippers,,113,Memphis Grizzlies,N
131,"17,683",Box Score,"Sat, Nov 4, 2017",,7:00p,108,Detroit Pistons,,99,Sacramento Kings,N
